,Unnamed: 0,reviews,Sentiment,Analysis
0,0,absolutely terrible lost luggage flight delivered day later smashed piece lete departure caused miss connecting flight yielding hour delay aircraft oversubscribed dirty unpleasant persistent odour food genuinely horrible ex force eat almost anything usually,-0.9543,Negative
1,1,booked premium economy round trip phoenix zurich via aa codeshare operated british airway way return flight back phoenix february th first leg ba flight zurich london heathrow delayed departure cause u missed ba connection flight heathrow phoenix first problem dash terminal security check point pm airplane still gate depart pm schedule almost min point however terminal security stopped u told cannot pas thru security due airline requirement later realized flight leave pm directed customer service book flight got ba customer service transfer counter one agent available least passenger waiting line told ba short staff due british holiday end february soccer championship match sunday took u least hour half rebook flight next day also seems much option want back phoenix different flight day agent booked flight told u printer broken need go zone terminal get ticket hotel voucher printed found zone ticket voucher hand assure agent luggage next day flight u well also told shuttle bus around corner take u hotel however map detail direction provided took u find shuttle back side terminal time arrived hotel tired next day arrived airport hour ahead scheduled departed time pm noticed checked two bag spot based iphone find feature apple air tag checked bag checked gate agent confirmed one checked bag associated flight luckily flight delayed two hour bag made flight flight team young flight attendant generally pleasant missed service meal order special meal popular chicken dish available came row told chicken dish ok told give minute bring different chicken dish however totally forgot came back collect trash mentioned forgot chicken dish surprised acting like lying overall think premium economy flight ba worst experience recent memory british flagship carrier seem care emailed sent experience customer service responded standard corporate reply one email template,0.9035,Positive
2,2,chose rotterdam london city airport convenience small hotel docklands meant short distance city airport three hour departure flight canceled however disappointing made swift move amsterdam schiphol airport unfortunately offered flight heathrow meant almost hour tube hotel flight back operated lcy rtm min delay term punctuality ba reliant flight okay snack drink e far comfortable seating legroom extra expense cancelled flight handled promptly got money extra transport food back ba good job respect hesitant book though airline flying rtm lcy,0.3818,Neutral
3,3,entire booking ticketing experience stressful erroneous booked directly ba thought go airline home headquarters uk need go uk mistake month ago could cancel change flight without paying cancel flight money sitting year account otherwise lost minus hundred tax really flying american airline another partner check without redirected site recognize appear aa aer lingus application ask time change plane london despite review saying long hard would mean cancel plane ticket loss money phone agent hour different call app let without time reset passcode minute wait email get error,-0.9474,Negative
4,4,british airway cancelled flight le hour automatically rebooked day later called customer service time trying change would help daughter flying different reservation legally blind needed flight care would help eventually bought new ticket easyjet arrive home entered complaint get fare refunded took month response cancelled strike spain refund easyjet cancel whole experience awful disappointing,-0.765,Negative
5,5,wanted write review could give huge thank one staff lisbon named jay ramphul went beyond really helped urgent situation boarded flight minute take realized left cell phone club lounge going get permission deboard get back time take jay stepped made happened literally ran far distance retrieve phone get back plane within minute take true service know review ever get back management hope want express gratitude help kindness matter,0.9637,Positive
6,6,check fast friendly security breeze lounge busy early evening comfortable clean flight attendant welcoming seat nightmare reverse forward step window seat hell thought good idea meal ok curry based like curry flight india fa brilliant flyer awake overnight flight improving since last ba flight,0.9686,Positive
7,7,first time seen new club world suite seat comfortable unlike airline ba crammed many seat business class humanly possible cabin felt cramped crew behaved though passenger grateful turning shift looked scruffy new uniform clearly dress code policy scrapped appreciate appearance measure service quality uk alone service appalling menu lacked choice food presented fell floor scooped back onto plate bedding atrocious old scraggly blanket fitting seat cover cold asked extra blanket never arrived drink coaster obviously cutback drink kept spilling decided clean crew bothered pick fact using bathroom hand towel act drink coaster mop mess aircraft old although retrofitted leak galley wall lot blue roll situ mop mess premium service felt like low cost carrier business,0.7003,Positive
8,8,flew business class doha london st march service slow unfriendly even one male cabin crew working business class asked female cabin crew looking area smile ordered waffle breakfast looked like fallen plate thrown back see photo plate waffle served hot moved plate burnt finger warned ferociously hot shocked bad food presentation feel comfortable saying anything cabin crew approachable friendly lunch bread roll dry rock hard cut end sure food service bad flight generally ba food good well presented also wi fi working flight,-0.296,Negative
9,9,starting heathrow terminal check fairly easy fast track security terrible area currently refurbishment two scanning machine fast track area time one use queue long slow moving heard mixed thing ba club lounge fairly impressed food option fairly varied tasted really nice nice salad well pie veg drink always ba lounge easy lay hand cater want lounge decent size various seating option busy time went sunday evening boarding well organised club passenger higher tier boarded quickly easily amenity kit bottle water bedding waiting seat welcome drink provided fairly quickly sitting hot towel provided take shortly followed drink nut regularly said nut would infinitely better served properly small packet food service board consisted main dinner service served hr take breakfast meal landing meal genuinely delicious meat tender juicy perfectly cooked drink provided whenever asked although crew busy serving passenger proactively offer top ups breakfast offered passenger woke meant people ate wanted rather order almost quite like la carte dining crew friendly efficient nice personality coming fairly standard experience ba flight entertainment excellent good screen quality responsive touch screen excellent selection use wifi however available aircraft price reasonable think seat generally comfortable storage compartment convenient spacious enough crew aisle side plane forgot unlock door people work periodically request crew whilst never complain fully flat bed reverse herringbone layout make footwell bit cramped also mean lot comfortable lie one side rather facing away door manage hour sleep though bad overall really lovely flight absolutely holding decent business class product service,0.997,Positive
